Region,TotalOwner,TotalRenter,MarriedOwner,MarriedRenter,MaleOwner,MaleRenter,FemaleOwner,FemaleRenter,NonfamilyOwner,NonfamilyRenter
"Barnstable Town, MA Metro Area",79.6,20.4,89.6,10.4,68.6,31.4,66.3,33.7,70.3,29.7
"Barre, VT Micro Area",70.3,29.7,87.5,12.5,52.4,47.6,59.6,40.4,56.4,43.6
"Bartlesville, OK Micro Area",71.2,28.8,83.2,16.8,54.8,45.2,50.3,49.7,63,37
"Batavia, NY Micro Area",72.4,27.6,90.3,9.7,62.5,37.5,54.4,45.6,55.7,44.3
"Batesville, AR Micro Area",74.7,25.3,85.4,14.6,65.3,34.7,51.4,48.6,66.4,33.6
"Baton Rouge, LA Metro Area",69.7,30.3,88.2,11.8,58,42,54.9,45.1,53.8,46.2
"Battle Creek, MI Metro Area",69.5,30.5,87.4,12.6,72.5,27.5,54.3,45.7,54.6,45.4
"Bay City, MI Metro Area",76.1,23.9,91,9,75.1,24.9,55.7,44.3,65.1,34.9
"Bay City, TX Micro Area",70.5,29.5,84.2,15.8,71.5,28.5,45,55,58.6,41.4
"Beatrice, NE Micro Area",68,32,86.3,13.7,92.2,7.8,39.7,60.3,48.4,51.6
"Beaumont-Port Arthur, TX Metro Area",67.1,32.9,83.5,16.5,58.7,41.3,47.8,52.2,53.5,46.5
"Beaver Dam, WI Micro Area",69.3,30.7,85.6,14.4,55.8,44.2,49.7,50.3,52.8,47.2
"Beckley, WV Metro Area",75.7,24.3,88.7,11.3,73.3,26.7,52.5,47.5,64.9,35.1
"Bedford, IN Micro Area",79.7,20.3,90.4,9.6,64.3,35.7,66.6,33.4,68.6,31.4
"Beeville, TX Micro Area",64.7,35.3,81.6,18.4,52.3,47.7,39.6,60.4,54.3,45.7
"Bellefontaine, OH Micro Area",76,24,87.6,12.4,62.3,37.7,52.9,47.1,63.6,36.4
"Bellingham, WA Metro Area",62.2,37.8,82.4,17.6,54.4,45.6,43.6,56.4,42,58
"Bemidji, MN Micro Area",67.8,32.2,88.9,11.1,66.8,33.2,53.1,46.9,51.1,48.9
"Bend, OR Metro Area",67.9,32.1,81.9,18.1,55.4,44.6,51,49,51.5,48.5
"Bennettsville, SC Micro Area",64.2,35.8,79.6,20.4,66.3,33.7,57.5,42.5,53.5,46.5
"Bennington, VT Micro Area",73.4,26.6,90.3,9.7,65.2,34.8,64.1,35.9,55.7,44.3
"Berlin, NH Micro Area",72.2,27.8,89.6,10.4,63.1,36.9,56.9,43.1,55.7,44.3
"Big Rapids, MI Micro Area",74.5,25.5,89.1,10.9,70.3,29.7,64.7,35.3,60.5,39.5
"Big Spring, TX Micro Area",66.4,33.6,82.5,17.5,49.3,50.7,51.2,48.8,53.9,46.1
"Big Stone Gap, VA Micro Area",66.9,33.1,83.9,16.1,63.1,36.9,39.3,60.7,55.2,44.8
"Billings, MT Metro Area",69.8,30.2,85,15,55.1,44.9,52.9,47.1,55.3,44.7
"Binghamton, NY Metro Area",67.7,32.3,88.1,11.9,61.8,38.2,51.8,48.2,50.1,49.9
"Birmingham-Hoover, AL Metro Area",69.2,30.8,85.6,14.4,63.8,36.2,51.2,48.8,54.5,45.5
"Bismarck, ND Metro Area",70.4,29.6,89.5,10.5,64.7,35.3,42.8,57.2,50.3,49.7
"Blackfoot, ID Micro Area",78.2,21.8,87.3,12.7,62.4,37.6,55.9,44.1,70.6,29.4
"Blacksburg-Christiansburg, VA Metro Area",60.3,39.7,80.1,19.9,68.6,31.4,51.3,48.7,40.9,59.1
"Bloomington, IL Metro Area",64.9,35.1,86.1,13.9,55.5,44.5,52.3,47.7,43.8,56.2
"Bloomington, IN Metro Area",58.3,41.7,83.5,16.5,41.1,58.9,54.2,45.8,37.7,62.3
"Bloomsburg-Berwick, PA Metro Area",68.4,31.6,87.6,12.4,63.1,36.9,54.5,45.5,49.9,50.1
"Bluefield, WV-VA Micro Area",71.8,28.2,81.8,18.2,62.5,37.5,54.9,45.1,65.9,34.1
"Bluffton, IN Micro Area",77.4,22.6,88.9,11.1,90.2,9.8,55.3,44.7,60.7,39.3
"Blytheville, AR Micro Area",57.6,42.4,81.9,18.1,49.6,50.4,26.6,73.4,47.5,52.5
"Bogalusa, LA Micro Area",71.1,28.9,89.2,10.8,66.3,33.7,43.9,56.1,62.2,37.8
"Boise City, ID Metro Area",71,29,84,16,62.5,37.5,55.2,44.8,55.6,44.4
"Bonham, TX Micro Area",74.3,25.7,85,15,56.5,43.5,53.5,46.5,64.6,35.4
"Boone, NC Micro Area",60.9,39.1,86,14,62.5,37.5,49.5,50.5,39.2,60.8
"Borger, TX Micro Area",80,20,89.5,10.5,81.6,18.4,70.8,29.2,66.3,33.7
"Boston-Cambridge-Newton, MA-NH Metro Area",61.7,38.3,80.8,19.2,54.5,45.5,46.1,53.9,42.4,57.6
"Boulder, CO Metro Area",63.6,36.4,82,18,56.8,43.2,55.8,44.2,45.4,54.6
"Bowling Green, KY Metro Area",62.7,37.3,80.8,19.2,47.8,52.2,41.7,58.3,48.5,51.5
"Bozeman, MT Micro Area",61.1,38.9,81.2,18.8,50.3,49.7,48.8,51.2,40.5,59.5
"Bradford, PA Micro Area",74.4,25.6,87.9,12.1,62.8,37.2,63.2,36.8,61.2,38.8
"Brainerd, MN Micro Area",77.7,22.3,91.8,8.2,71.5,28.5,52.4,47.6,64.1,35.9
"Branson, MO Micro Area",65.5,34.5,78.1,21.9,55.6,44.4,47.3,52.7,52.4,47.6
"Breckenridge, CO Micro Area",68.8,31.2,77.7,22.3,52.4,47.6,38.3,61.7,61.8,38.2
"Bremerton-Silverdale-Port Orchard, WA Metro Area",68.1,31.9,80.1,19.9,61.1,38.9,53,47,53.9,46.1
"Brenham, TX Micro Area",73.7,26.3,82.5,17.5,73.7,26.3,69.3,30.7,61.8,38.2
"Brevard, NC Micro Area",75.6,24.4,87.1,12.9,65.8,34.2,51.7,48.3,67.2,32.8
"Bridgeport-Stamford-Norwalk, CT Metro Area",66.7,33.3,81.4,18.6,53.8,46.2,47.9,52.1,50.3,49.7
"Brookhaven, MS Micro Area",75.9,24.1,86.9,13.1,65.5,34.5,54.8,45.2,69.8,30.2
"Brookings, OR Micro Area",73.4,26.6,80.7,19.3,61.2,38.8,47.7,52.3,70,30
"Brookings, SD Micro Area",58.9,41.1,81.6,18.4,46.9,53.1,48.5,51.5,40.1,59.9
"Brownsville, TN Micro Area",58.9,41.1,76.9,23.1,68.2,31.8,44.4,55.6,45.4,54.6
"Brownsville-Harlingen, TX Metro Area",66.2,33.8,76.5,23.5,59,41,51.1,48.9,58.6,41.4
"Brownwood, TX Micro Area",71.5,28.5,83.4,16.6,76.9,23.1,61.7,38.3,55.4,44.6
"Brunswick, GA Metro Area",69.3,30.7,83,17,56.9,43.1,50,50,59.8,40.2
"Bucyrus-Galion, OH Micro Area",70,30,84.1,15.9,55.7,44.3,50.7,49.3,59.2,40.8
"Buffalo-Cheektowaga, NY Metro Area",66.1,33.9,87.3,12.7,60.3,39.7,49.1,50.9,50.7,49.3
"Burley, ID Micro Area",70,30,79.6,20.4,56.1,43.9,47.7,52.3,58.8,41.2
"Burlington, IA-IL Micro Area",71.7,28.3,89.9,10.1,52.1,47.9,42.6,57.4,62.3,37.7
"Burlington, NC Metro Area",66.5,33.5,83.8,16.2,46.9,53.1,47.8,52.2,53.8,46.2
"Burlington-South Burlington, VT Metro Area",66.8,33.2,87,13,59.2,40.8,53.3,46.7,46.7,53.3
"Butte-Silver Bow, MT Micro Area",69.6,30.4,85.3,14.7,76.4,23.6,50.9,49.1,58,42
"Cadillac, MI Micro Area",79,21,90.2,9.8,66.5,33.5,63.1,36.9,68.1,31.9
"Calhoun, GA Micro Area",66.7,33.3,74.5,25.5,39.2,60.8,61.3,38.7,59.2,40.8
"California-Lexington Park, MD Metro Area",70.3,29.7,84,16,61,39,49.5,50.5,55.6,44.4
"Cambridge, MD Micro Area",67.5,32.5,85.2,14.8,52,48,42.8,57.2,58.7,41.3
"Cambridge, OH Micro Area",71.4,28.6,84.4,15.6,68.9,31.1,54.1,45.9,60.9,39.1
"Camden, AR Micro Area",72.9,27.1,90.3,9.7,63.5,36.5,48.2,51.8,64.7,35.3
"Campbellsville, KY Micro Area",66.3,33.7,80,20,55,45,46,54,54.2,45.8
"Cañon City, CO Micro Area",75.7,24.3,87.6,12.4,65.7,34.3,55.6,44.4,63.4,36.6
"Canton-Massillon, OH Metro Area",68.8,31.2,87.6,12.4,58.8,41.2,44.2,55.8,54.1,45.9
"Cape Coral-Fort Myers, FL Metro Area",72.7,27.3,82.3,17.7,57.1,42.9,49.9,50.1,66.3,33.7
"Cape Girardeau, MO-IL Metro Area",68.5,31.5,85.8,14.2,76.6,23.4,45.9,54.1,50.8,49.2
"Carbondale-Marion, IL Metro Area",62.8,37.2,87.1,12.9,55.1,44.9,51.4,48.6,42.6,57.4
"Carlsbad-Artesia, NM Micro Area",70,30,83.7,16.3,45.7,54.3,51.5,48.5,61.7,38.3
"Carroll, IA Micro Area",76.2,23.8,93.5,6.5,79.6,20.4,53.7,46.3,57.4,42.6
"Carson City, NV Metro Area",58.2,41.8,75.2,24.8,45.9,54.1,30.5,69.5,50.4,49.6
"Casper, WY Metro Area",70.6,29.4,85.7,14.3,60.4,39.6,52.9,47.1,57.4,42.6
"Cedar City, UT Micro Area",65.2,34.8,76.6,23.4,30.5,69.5,41.5,58.5,52.3,47.7
"Cedar Rapids, IA Metro Area",75.3,24.7,91.3,8.7,67.2,32.8,57.7,42.3,59,41
"Cedartown, GA Micro Area",64.8,35.2,77.3,22.7,58.8,41.2,39.1,60.9,58.8,41.2
"Celina, OH Micro Area",79.3,20.7,91.5,8.5,62.9,37.1,49.6,50.4,65.5,34.5
"Central City, KY Micro Area",81.1,18.9,88.9,11.1,85.2,14.8,53.9,46.1,73.8,26.2
"Centralia, IL Micro Area",74.6,25.4,89.1,10.9,55,45,51.4,48.6,67,33
"Centralia, WA Micro Area",70.4,29.6,84.6,15.4,59.4,40.6,49.2,50.8,57.5,42.5
"Chambersburg-Waynesboro, PA Metro Area",70.9,29.1,84.1,15.9,53.5,46.5,51.4,48.6,55.6,44.4
"Champaign-Urbana, IL Metro Area",55.3,44.7,83.8,16.2,53.7,46.3,36.3,63.7,35.2,64.8
"Charleston, WV Metro Area",72.5,27.5,86.7,13.3,64.9,35.1,53.8,46.2,61.7,38.3
"Charleston-Mattoon, IL Micro Area",63.6,36.4,84.4,15.6,58.7,41.3,42.7,57.3,47.2,52.8
"Charleston-North Charleston, SC Metro Area",66.8,33.2,82.5,17.5,60,40,51.1,48.9,52.7,47.3
"Charlotte-Concord-Gastonia, NC-SC Metro Area",66,34,82.3,17.7,52.9,47.1,47.2,52.8,51.1,48.9
"Charlottesville, VA Metro Area",63.8,36.2,81.3,18.7,52.7,47.3,47.4,52.6,46.8,53.2
"Chattanooga, TN-GA Metro Area",67.4,32.6,83.1,16.9,59.2,40.8,50.5,49.5,52.6,47.4
"Cheyenne, WY Metro Area",72.6,27.4,83.8,16.2,69.1,30.9,60.1,39.9,59.5,40.5
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",64.8,35.2,82.2,17.8,56.6,43.4,48.1,51.9,48.7,51.3
"Chico, CA Metro Area",59.5,40.5,77.9,22.1,45.8,54.2,40.5,59.5,46.8,53.2
"Chillicothe, OH Micro Area",71.1,28.9,85.9,14.1,68.1,31.9,53.2,46.8,57.2,42.8
"Cincinnati, OH-KY-IN Metro Area",67.1,32.9,86.5,13.5,59.7,40.3,45.3,54.7,49.3,50.7
"Clarksburg, WV Micro Area",75.9,24.1,88.1,11.9,71.8,28.2,62.6,37.4,63.6,36.4
"Clarksdale, MS Micro Area",55.3,44.7,75.2,24.8,52.8,47.2,39.6,60.4,52.3,47.7
"Clarksville, TN-KY Metro Area",59.3,40.7,71.2,28.8,52.8,47.2,39.9,60.1,48.9,51.1
"Clearlake, CA Micro Area",67.7,32.3,78.5,21.5,55.2,44.8,48.1,51.9,63.7,36.3
"Cleveland, MS Micro Area",56,44,78.2,21.8,56.9,43.1,30.6,69.4,49.9,50.1
"Cleveland, TN Metro Area",68,32,81.9,18.1,57.1,42.9,46.8,53.2,54.3,45.7
"Cleveland-Elyria, OH Metro Area",64.6,35.4,85.7,14.3,58.5,41.5,45.7,54.3,50.3,49.7
"Clewiston, FL Micro Area",70.3,29.7,78.6,21.4,56.3,43.7,59.2,40.8,68.7,31.3
"Clinton, IA Micro Area",74.1,25.9,91.1,8.9,83.7,16.3,52.7,47.3,58.5,41.5
"Clovis, NM Micro Area",56.4,43.6,72.8,27.2,56.1,43.9,30.2,69.8,46.5,53.5
"Coamo, PR Micro Area",76.6,23.4,88.9,11.1,67.3,32.7,75.5,24.5,65.7,34.3
"Coco, PR Micro Area",78.9,21.1,93.1,6.9,60,40,71.4,28.6,75.6,24.4
"Coeur d'Alene, ID Metro Area",71.3,28.7,83.8,16.2,54.2,45.8,48.7,51.3,56.9,43.1
"Coffeyville, KS Micro Area",69.5,30.5,86.9,13.1,70.5,29.5,51.2,48.8,54.4,45.6
"Coldwater, MI Micro Area",75.8,24.2,88.2,11.8,64.3,35.7,55.1,44.9,66.5,33.5
"College Station-Bryan, TX Metro Area",51.1,48.9,76,24,44.6,55.4,41.2,58.8,29.9,70.1
"Colorado Springs, CO Metro Area",65.8,34.2,78.8,21.2,53.1,46.9,50.8,49.2,50.4,49.6
"Columbia, MO Metro Area",58.4,41.6,82.4,17.6,41.8,58.2,47.6,52.4,36.4,63.6
"Columbia, SC Metro Area",68.4,31.6,85.9,14.1,58.8,41.2,51.3,48.7,55.4,44.6
"Columbus, GA-AL Metro Area",56.7,43.3,72.9,27.1,52.4,47.6,39,61,46.5,53.5
"Columbus, IN Metro Area",70.9,29.1,85.4,14.6,62.6,37.4,54.3,45.7,55.9,44.1
